name,addr,city,phone,type,cluster,postal,latlng
vong,200 e. 54th st.,new york,212/486-9592,american,373,10022,"(40.7579569, -73.9685741)"
water club,500 e. 30th st.,new york,212/683-3333,american,374,10016,"(40.7403761, -73.97237340000001)"
west,63rd street steakhouse 44 w. 63rd st.,new york,212/246-6363,american,375,10023,"(40.7715018, -73.98286329999999)"
xunta,174 1st ave.  between 10th and 11th sts.,new york,212/614-0620,mediterranean,376,10009,"(40.7290328, -73.98391509999999)"
zen palate,34 union sq. e at 16th st.,new york,212/614-9291,and 212/614-9345 asian,377,10003,"(40.7357345, -73.98918359999999)"
zoe,90 prince st.  between broadway and mercer st.,new york,212/966-6722,american,378,10012,"(40.7243973, -73.9985495)"
abbey,163 ponce de leon ave.,atlanta,404/876-8532,international,379,30308,"(33.7720888, -84.3820901)"
aleck's barbecue heaven,783 martin luther king jr. dr.,atlanta,404/525-2062,barbecue,380,30314,"(33.754857, -84.4129567)"
annie's thai castle,3195 roswell rd.,atlanta,404/264-9546,asian,381,30305,"(33.8422175, -84.3784766)"
anthonys,3109 piedmont rd.  just south of peachtree rd.,atlanta,404/262-7379,american,382,30305,"(33.8413788, -84.3683527)"
atlanta fish market,265 pharr rd.,atlanta,404/262-3165,american,383,30305,"(33.836649, -84.37880539999999)"
beesley's of buckhead,260 e. paces ferry road,atlanta,404/264-1334,continental,384,30305,"(33.8393374, -84.3789146)"
bertolini's,3500 peachtree rd.  phipps plaza,atlanta,404/233-2333,italian,385,30326,"(33.852544, -84.361986)"
bistango,1100 peachtree st.,atlanta,404/724-0901,mediterranean,386,30309,"(33.78500150000001, -84.38385559999999)"
cafe renaissance,7050 jimmy carter blvd.  norcross,atlanta,770/441--0291,american,387,30092,"(33.947159, -84.2414678)"
camille's,1186 n. highland ave.,atlanta,404/872-7203,italian,388,30306,"(33.7868949, -84.35572479999999)"
cassis,3300 peachtree rd.  grand hyatt,atlanta,404/365-8100,mediterranean,389,30305,"(33.8452408, -84.3704039)"
city grill,50 hurt plaza,atlanta,404/524-2489,international,390,30303,"(33.7543349, -84.3868116)"
coco loco,40  buckhead crossing mall on the sidney marcus blvd.,atlanta,404/364-0212,caribbean,391,30324,"(33.8272888, -84.3651615)"
colonnade restaurant,1879 cheshire bridge rd.,atlanta,404/874-5642,southern,392,30324,"(33.8092277, -84.3609824)"
dante's down the hatch  buckhead,3380 peachtree rd.,atlanta,404/266-1600,continental,393,30326,"(33.8496311, -84.3660752)"
dante's down the hatch,underground underground mall  underground atlanta,atlanta,404/577-1800,continental,394,30303,"(33.7532188, -84.39192589999999)"
fat matt's rib shack,1811 piedmont ave.  near cheshire bridge rd.,atlanta,404/607-1622,barbecue,395,30324,"(33.804608, -84.3671136)"
french quarter food shop,923 peachtree st.  at 8th st.,atlanta,404/875-2489,southern,396,30309,"(33.7813888, -84.38308579999999)"
holt bros. bar-b-q,6359 jimmy carter blvd.  at buford hwy.  norcross,atlanta,770/242-3984,barbecue,397,30071,"(33.9315449, -84.22147799999999)"
horseradish grill,4320 powers ferry rd.,atlanta,404/255-7277,southern,398,30342,"(33.8728089, -84.39643819999999)"
hsu's gourmet,192 peachtree center ave.  at international blvd.,atlanta,404/659-2788,asian,399,30303,"(33.7589499, -84.3864526)"
imperial fez,2285 peachtree rd.  peachtree battle condominium,atlanta,404/351-0870,mediterranean,400,30309,"(33.8163907, -84.3895753)"
kamogawa,3300 peachtree rd.  grand hyatt,atlanta,404/841-0314,asian,401,30305,"(33.8452408, -84.3704039)"
la grotta at ravinia dunwoody rd.,holiday inn/crowne plaza at ravinia  dunwoody,atlanta,770/395-9925,italian,402,30346,"(33.9209167, -84.3377975)"
little szechuan,c buford hwy.  northwoods plaza  doraville,atlanta,770/451-0192,asian,403,30340,"(33.8905475, -84.28500559999999)"
lowcountry barbecue,6301 roswell rd.  sandy springs plaza  sandy springs,atlanta,404/255-5160,barbecue,404,30328,"(33.926974, -84.378188)"
luna si,1931 peachtree rd.,atlanta,404/355-5993,continental,405,30309,"(33.8074904, -84.3934671)"
mambo restaurante cubano,1402 n. highland ave.,atlanta,404/874-2626,caribbean,406,30306,"(33.7927506, -84.3525207)"
mckinnon's louisiane,3209 maple dr.,atlanta,404/237-1313,southern,407,30305,"(33.8427104, -84.372103)"
mi spia dunwoody rd.,park place  across from perimeter mall  dunwoody,atlanta,770/393-1333,italian,408,30346,"(33.9237949, -84.3409724)"
nickiemoto's: a sushi bar,247 buckhead ave.  east village sq.,atlanta,404/842-0334,fusion,409,30305,"(33.8380013, -84.37962449999999)"
palisades,1829 peachtree rd.,atlanta,404/350-6755,continental,410,30309,"(33.8050996, -84.393458)"
pleasant peasant,555 peachtree st.  at linden ave.,atlanta,404/874-3223,american,411,30308,"(33.7696571, -84.3849082)"
pricci,500 pharr rd.,atlanta,404/237-2941,italian,412,30305,"(33.8373594, -84.3714961)"
r.j.'s uptown kitchen & wine bar,870 n. highland ave.,atlanta,404/875-7775,american,413,30306,"(33.7783157, -84.35311639999999)"
rib ranch,25 irby ave.,atlanta,404/233-7644,barbecue,414,30305,"(33.8413887, -84.3797908)"
sa tsu ki,3043 buford hwy.,atlanta,404/325-5285,asian,415,30329,"(33.8364566, -84.3351212)"
sato sushi and thai,6050 peachtree pkwy.  norcross,atlanta,770/449-0033,asian,416,30092,"(33.9536578, -84.23201139999999)"
south city kitchen,1144 crescent ave.,atlanta,404/873-7358,southern,417,30309,"(33.7859545, -84.3844341)"
south of france,2345 cheshire bridge rd.,atlanta,404/325-6963,french,418,30324,"(33.8191337, -84.3503435)"
stringer's fish camp and oyster bar,3384 shallowford rd.  chamblee,atlanta,770/458-7145,southern,419,30341,"(33.8870361, -84.2855242)"
sundown cafe,2165 cheshire bridge rd.,atlanta,404/321-1118,american,420,30324,"(33.8133915, -84.3534936)"
taste of new orleans,889 w. peachtree st.,atlanta,404/874-5535,southern,421,30309,"(33.7790951, -84.38693479999999)"
tomtom,3393 peachtree rd.,atlanta,404/264-1163,continental,422,30326,"(33.846335, -84.3635778)"
antonio's,3700 w. flamingo,las vegas,702/252-7737,italian,423,89103,"(36.1163819, -115.1850253)"
bally's big kitchen,3645 las vegas blvd. s,las vegas,702/739-4111,buffets,424,89109,"(36.1142224, -115.1708505)"
bamboo garden,4850 flamingo rd.,las vegas,702/871-3262,asian,425,89103,"(36.1163232, -115.206238)"
battista's hole in the wall,4041 audrie st. at flamingo rd.,las vegas,702/732-1424,italian,426,89109,"(36.1152401, -115.1683221)"
bertolini's,3570 las vegas blvd. s,las vegas,702/735-4663,italian,427,89109,"(36.1161559, -115.1750576)"
binion's coffee shop,128 fremont st.,las vegas,702/382-1600,coffee shops/diners,428,89101,"(36.1716327, -115.1442634)"
bistro,3400 las vegas blvd. s,las vegas,702/791-7111,continental,429,89109,"(36.1206111, -115.1768386)"
broiler,4111 boulder hwy.,las vegas,702/432-7777,american,430,89121,"(36.1329379, -115.084697)"
bugsy's diner,3555 las vegas blvd. s,las vegas,702/733-3111,coffee shops/diners,431,89109,"(36.1162077, -115.1707806)"
cafe michelle,1350 e. flamingo rd.,las vegas,702/735-8686,american,432,89119,"(36.1155052, -115.1345664)"
cafe roma,3570 las vegas blvd. s,las vegas,702/731-7547,coffee shops/diners,433,89109,"(36.1161559, -115.1750576)"
capozzoli's,3333 s. maryland pkwy.,las vegas,702/731-5311,italian,434,89169,"(36.1289894, -115.1377317)"
carnival world,3700 w. flamingo rd.,las vegas,702/252-7777,buffets,435,89103,"(36.1163819, -115.1850253)"
center stage plaza hotel,1 main st.,las vegas,702/386-2512,american,436,89101,"(36.1721156, -115.1469038)"
circus circus,2880 las vegas blvd. s,las vegas,702/734-0410,buffets,437,89109,"(36.13764159999999, -115.1653861)"
empress court,3570 las vegas blvd. s,las vegas,702/731-7888,asian,438,89109,"(36.1161559, -115.1750576)"
feast,2411 w. sahara ave.,las vegas,702/367-2411,buffets,439,89102,"(36.1429464, -115.1749359)"
golden nugget hotel,129 e. fremont st.,las vegas,702/385-7111,buffets,440,89101,"(36.1701653, -115.1449582)"
golden steer,308 w. sahara ave.,las vegas,702/384-4470,steak houses,441,89102,"(36.144141, -115.161171)"
lillie langtry's,129 e. fremont st.,las vegas,702/385-7111,asian,442,89101,"(36.1701653, -115.1449582)"
mandarin court,1510 e. flamingo rd.,las vegas,702/737-1234,asian,443,89119,"(36.1152868, -115.1328213)"
margarita's mexican cantina,3120 las vegas blvd. s,las vegas,702/794-8200,mexican,444,89109,"(36.129066, -115.168791)"
mary's diner,5111 w. boulder hwy.,las vegas,702/454-8073,coffee shops/diners,445,89122,"(36.1128952, -115.0623534)"
mikado,3400 las vegas blvd. s,las vegas,702/791-7111,asian,446,89109,"(36.1206111, -115.1768386)"
pamplemousse,400 e. sahara ave.,las vegas,702/733-2066,continental,447,89104,"(36.1439588, -115.1523467)"
ralph's diner,3000 las vegas blvd. s,las vegas,702/732-6330,coffee shops/diners,448,89109,"(36.1341269, -115.167604)"
the bacchanal,3570 las vegas blvd. s,las vegas,702/731-7525,only in las vegas,449,89109,"(36.1161559, -115.1750576)"
venetian,3713 w. sahara ave.,las vegas,702/876-4190,italian,450,89102,"(36.1439486, -115.1917413)"
viva mercado's,6182 w. flamingo rd.,las vegas,702/871-8826,mexican,451,89103,"(36.1149027, -115.2269398)"
yolie's,3900 paradise rd.,las vegas,702/794-0700,steak houses,452,89123,"(36.0337076, -115.1404226)"
2223,2223 market st.,san francisco,415/431-0692,american,453,94114,"(37.7651206, -122.4313774)"
acquarello,1722 sacramento st.,san francisco,415/567-5432,italian,454,94109,"(37.7915485, -122.421442)"
bardelli's,243 o'farrell st.,san francisco,415/982-0243,old san francisco,455,94102,"(37.78599310000001, -122.4086873)"
betelnut,2030 union st.,san francisco,415/929-8855,asian,456,94123,"(37.7976775, -122.432701)"
bistro roti,155 steuart st.,san francisco,415/495-6500,french,457,94105,"(37.7928445, -122.3922586)"
bix,56 gold st.,san francisco,415/433-6300,american,458,94133,"(37.7968486, -122.4029681)"
bizou,598 fourth st.,san francisco,415/543-2222,french,459,94107,"(37.7783538, -122.3967223)"
buca giovanni,800 greenwich st.,san francisco,415/776-7766,italian,460,94133,"(37.8019982, -122.4131132)"
cafe adriano,3347 fillmore st.,san francisco,415/474-4180,italian,461,94123,"(37.8004898, -122.4364719)"
cafe marimba,2317 chestnut st.,san francisco,415/776-1506,mexican/latin american/spanish,462,94123,"(37.7999557, -122.4414378)"
california culinary academy,625 polk st.,san francisco,415/771-3500,french,463,94102,"(37.782421, -122.4194442)"
capp's corner,1600 powell st.,san francisco,415/989-2589,italian,464,94133,"(37.7994503, -122.4104242)"
carta,1772 market st.,san francisco,415/863-3516,american,465,94102,"(37.7724004, -122.4230747)"
chevys,4th and howard sts.,san francisco,415/543-8060,mexican/latin american/spanish,466,94103,"(37.7832684, -122.4027358)"
cypress club,500 jackson st.,san francisco,415/296-8555,american,467,94133,"(37.7964852, -122.4038232)"
des alpes,732 broadway,san francisco,415/788-9900,french,468,94133,"(37.7977472, -122.4091852)"
faz,161 sutter st.,san francisco,415/362-0404,greek and middle eastern,469,94104,"(37.7897426, -122.4033221)"
fog city diner,1300 battery st.,san francisco,415/982-2000,american,470,94111,"(37.8034545, -122.4018175)"
garden court,market and new montgomery sts.,san francisco,415/546-5011,old san francisco,471,94104,"(37.7888235, -122.4019899)"
gaylord's,ghirardelli sq.,san francisco,415/771-8822,asian,472,94109,"(37.8058634, -122.4226382)"
grand cafe hotel monaco,501 geary st.,san francisco,415/292-0101,american,473,94102,"(37.7866571, -122.4119065)"
greens,bldg. a fort mason,san francisco,415/771-6222,vegetarian,474,94123,"(37.8055649, -122.431836)"
harbor village,4 embarcadero center,san francisco,415/781-8833,asian,475,94111,"(37.7953898, -122.3961067)"
harris',2100 van ness ave.,san francisco,415/673-1888,steak houses,476,94109,"(37.7950668, -122.4229237)"
harry denton's,161 steuart st.,san francisco,415/882-1333,american,477,94105,"(37.7926439, -122.3922179)"
hayes street grill,320 hayes st.,san francisco,415/863-5545,seafood,478,94102,"(37.77717620000001, -122.4218286)"
helmand,430 broadway,san francisco,415/362-0641,greek and middle eastern,479,94133,"(37.7983379, -122.4044745)"
hong kong flower lounge,5322 geary blvd.,san francisco,415/668-8998,asian,480,94121,"(37.78070870000001, -122.4766645)"
hong kong villa,2332 clement st.,san francisco,415/752-8833,asian,481,94121,"(37.7823089, -122.48447)"
hyde street bistro,1521 hyde st.,san francisco,415/441-7778,italian,482,94109,"(37.79479, -122.4183706)"
il fornaio levi's plaza,1265 battery st.,san francisco,415/986-0100,italian,483,94111,"(37.802907, -122.4020405)"
izzy's steak & chop house,3345 steiner st.,san francisco,415/563-0487,steak houses,484,94123,"(37.8002836, -122.4380759)"
jack's,615 sacramento st.,san francisco,415/986-9854,old san francisco,485,94111,"(37.7935846, -122.4034315)"
kabuto sushi,5116 geary blvd.,san francisco,415/752-5652,asian,486,94118,"(37.7808431, -122.4742885)"
katia's,600 5th ave.,san francisco,415/668-9292,,487,94118,"(37.7771579, -122.4626687)"
kuleto's,221 powell st.,san francisco,415/397-7720,italian,488,94102,"(37.7867415, -122.4083384)"
kyo-ya. sheraton palace hotel,2 new montgomery st.  at market st.,san francisco,415/546-5000,asian,489,94105,"(37.7880304, -122.4018602)"
l'osteria del forno,519 columbus ave.,san francisco,415/982-1124,italian,490,94133,"(37.799736, -122.4096355)"
le central,453 bush st.,san francisco,415/391-2233,french,491,94108,"(37.7904686, -122.4050381)"
le soleil,133 clement st.,san francisco,415/668-4848,asian,492,94118,"(37.782955, -122.460702)"
macarthur park,607 front st.,san francisco,415/398-5700,american,493,94111,"(37.7971519, -122.399915)"
manora,3226 mission st.,san francisco,415/861-6224,asian,494,94110,"(37.7451375, -122.4205013)"
maykadeh,470 green st.,san francisco,415/362-8286,greek and middle eastern,495,94133,"(37.7999699, -122.4070642)"
mccormick & kuleto's,ghirardelli sq.,san francisco,415/929-1730,seafood,496,94109,"(37.8058634, -122.4226382)"
millennium,246 mcallister st.,san francisco,415/487-9800,vegetarian,497,94102,"(37.7808727, -122.4161321)"
moose's,1652 stockton st.,san francisco,415/989-7800,mediterranean,498,94133,"(37.8010729, -122.409141)"
north india,3131 webster st.,san francisco,415/931-1556,asian,499,94123,"(37.7996849, -122.4345811)"
one market,1 market st.,san francisco,415/777-5577,american,500,94105,"(37.7940118, -122.394945)"
oritalia,1915 fillmore st.,san francisco,415/346-1333,italian,501,94115,"(37.7875252, -122.4338291)"
pacific pan pacific hotel,500 post st.,san francisco,415/929-2087,french,502,94102,"(37.7883396, -122.4103029)"
palio d'asti,640 sacramento st.,san francisco,415/395-9800,italian,503,94111,"(37.7938689, -122.4036744)"
pane e vino,3011 steiner st.,san francisco,415/346-2111,italian,504,94123,"(37.7971274, -122.4373902)"
pastis,1015 battery st.,san francisco,415/391-2555,french,505,94111,"(37.800641, -122.401795)"
perry's,1944 union st.,san francisco,415/922-9022,american,506,94123,"(37.7978273, -122.4313074)"
r&g lounge,631 b kearny st.,san francisco,415/982-7877,or 415/982-3811 asian,507,94108,"(37.7940903, -122.4049254)"
rubicon,558 sacramento st.,san francisco,415/434-4100,american,508,94111,"(37.7940228, -122.402342)"
rumpus,1 tillman pl.,san francisco,415/421-2300,american,509,94108,"(37.7893549, -122.4057338)"
sanppo,1702 post st.,san francisco,415/346-3486,asian,510,94115,"(37.7857866, -122.4301854)"
scala's bistro,432 powell st.,san francisco,415/395-8555,italian,511,94102,"(37.7888442, -122.408393)"
south park cafe,108 south park,san francisco,415/495-7275,french,512,94107,"(37.7816579, -122.3938961)"
splendido embarcadero,4,san francisco,415/986-3222,mediterranean,513,94108,"(37.7915453, -122.4122999)"
stars,150 redwood alley,san francisco,415/861-7827,american,514,94102,"(37.7808379, -122.4194692)"
stars cafe,500 van ness ave.,san francisco,415/861-4344,american,515,94102,"(37.7802979, -122.4200025)"
stoyanof's cafe,1240 9th ave.,san francisco,415/664-3664,greek and middle eastern,516,94122,"(37.7651584, -122.4661957)"
straits cafe,3300 geary blvd.,san francisco,415/668-1783,asian,517,94118,"(37.781865, -122.4544116)"
suppenkuche,601 hayes st.,san francisco,415/252-9289,russian/german,518,94102,"(37.7764699, -122.4262854)"
tadich grill,240 california st.,san francisco,415/391-2373,seafood,519,94111,"(37.79342, -122.399466)"
the heights,3235 sacramento st.,san francisco,415/474-8890,french,520,94115,"(37.7880656, -122.4461528)"
thepin,298 gough st.,san francisco,415/863-9335,asian,521,94102,"(37.7758205, -122.4226361)"
ton kiang,3148 geary blvd.,san francisco,415/752-4440,asian,522,94118,"(37.7820001, -122.4530359)"
vertigo,600 montgomery st.,san francisco,415/433-7250,mediterranean,523,94111,"(37.7950185, -122.4027468)"
vivande porta via,2125 fillmore st.,san francisco,415/346-4430,italian,524,94115,"(37.7893618, -122.43422)"
vivande ristorante,670 golden gate ave.,san francisco,415/673-9245,italian,525,94102,"(37.7810143, -122.4216193)"
world wrapps,2257 chestnut st.,san francisco,415/563-9727,american,526,94123,"(37.8000966, -122.4404122)"
wu kong,101 spear st.,san francisco,415/957-9300,asian,527,94105,"(37.792549, -122.3930995)"
yank sing,427 battery st.,san francisco,415/541-4949,asian,528,94111,"(37.79533929999999, -122.4006374)"
yaya cuisine,1220 9th ave.,san francisco,415/566-6966,greek and middle eastern,529,94122,"(37.7654934, -122.4661957)"
yoyo tsumami bistro,1611 post st.,san francisco,415/922-7788,french,530,94115,"(37.7856385, -122.4283867)"
zarzuela,2000 hyde st.,san francisco,415/346-0800,mexican/latin american/spanish,531,94109,"(37.7993433, -122.4189027)"
zuni cafe & grill,1658 market st.,san francisco,415/552-2522,mediterranean,532,94102,"(37.77361399999999, -122.4216406)"
apple pan  the,10801 w. pico blvd.,west la,310-475-3585,american,534,90064,"(34.0406896, -118.4278502)"
asahi ramen,2027 sawtelle blvd.,west la,310-479-2231,noodle shops,535,90025,"(34.040195, -118.4432126)"
baja fresh,3345 kimber dr.,westlake village,805-498-4049,mexican,536,91320,"(34.1755548, -118.9480807)"
belvedere  the,9882 little santa monica blvd.,beverly hills,310-788-2306,pacific new wave,537,90212,"(34.0657248, -118.4106882)"
benita's frites,1433 third st. promenade,santa monica,310-458-2889,fast food,538,90401,"(34.0152381, -118.4955253)"
bernard's,515 s. olive st.,los angeles,213-612-1580,continental,539,90013,"(34.0493121, -118.2532446)"
bistro 45,45 s. mentor ave.,pasadena,818-795-2478,californian,540,91106,"(34.1450068, -118.1310805)"
brent's deli,19565 parthenia ave.,northridge,818-886-5679,delis,541,91324,"(34.228923, -118.5604874)"
brighton coffee shop,9600 brighton way,beverly hills,310-276-7732,coffee shops,542,90210,"(34.0683181, -118.4040078)"
bristol farms market cafe,1570 rosecrans ave. s.,pasadena,310-643-5229,californian,543,90266,"(33.9003509, -118.3848828)"
bruno's,3838 centinela ave.,mar vista,310-397-5703,italian,544,90066,"(34.0030806, -118.4327926)"
cafe '50s,838 lincoln blvd.,venice,310-399-1955,american,545,90291,"(33.9991156, -118.4627313)"
cafe blanc,9777 little santa monica blvd.,beverly hills,310-888-0108,pacific new wave,546,90210,"(34.0675996, -118.4090648)"
cassell's,3266 w. sixth st.,la,213-480-8668,hamburgers,547,90020,"(34.0634809, -118.2936285)"
chez melange,1716 pch,redondo beach,310-540-1222,eclectic,548,92648,"(33.6654138, -118.0128681)"
diaghilev,1020 n. san vicente blvd.,w. hollywood,310-854-1111,russian,549,90069,"(34.0897641, -118.3851819)"
don antonio's,1136 westwood blvd.,westwood,310-209-1422,italian,550,90024,"(34.060066, -118.4447761)"
duke's,8909 sunset blvd.,w. hollywood,310-652-3100,coffee shops,551,90069,"(34.0908042, -118.3858605)"
falafel king,1059 broxton ave.,westwood,310-208-4444,middle eastern,552,90024,"(34.061434, -118.446446)"
feast from the east,1949 westwood blvd.,west la,310-475-0400,chinese,553,90025,"(34.0473246, -118.4351719)"
gumbo pot  the,6333 w. third st.,la,213-933-0358,cajun/creole,554,90036,"(34.0722795, -118.3602751)"
hollywood hills coffee shop,6145 franklin ave.,hollywood,213-467-7678,coffee shops,555,90028,"(34.1054088, -118.3239035)"
indo cafe,10428 1/2 national blvd.,la,310-815-1290,indonesian,556,90034,"(34.0287738, -118.4113266)"
jan's family restaurant,8424 beverly blvd.,la,213-651-2866,coffee shops,557,90048,"(34.075894, -118.37407)"
jiraffe,502 santa monica blvd,santa monica,310-917-6671,californian,558,90401,"(34.0172103, -118.4939764)"
jody maroni's sausage kingdom,2011 ocean front walk,venice,310-306-1995,hot dogs,559,90291,"(33.9846343, -118.4714355)"
joe's,1023 abbot kinney blvd.,venice,310-399-5811,american (new),560,90291,"(33.9922429, -118.4718658)"
john o'groats,10516 w. pico blvd.,west la,310-204-0692,coffee shops,561,90064,"(34.0447677, -118.4193021)"
johnnie's pastrami,4017 s. sepulveda blvd.,culver city,310-397-6654,delis,562,90230,"(34.0081789, -118.4138229)"
johnny reb's southern smokehouse,4663 long beach blvd.,long beach,310-423-7327,southern/soul,563,90807,"(33.8423904, -118.1926019)"
johnny rockets (la),7507 melrose ave.,la,213-651-3361,american,564,90046,"(34.0837966, -118.353576)"
killer shrimp,4000 colfax ave.,studio city,818-508-1570,seafood,565,91604,"(34.1413867, -118.3870791)"
kokomo cafe,6333 w. third st.,la,213-933-0773,american,566,90036,"(34.0722795, -118.3602751)"
koo koo roo,8393 w. beverly blvd.,la,213-655-9045,chicken,567,90048,"(34.0763956, -118.3730267)"
la cachette,10506 little santa monica blvd.,century city,310-470-4992,french (new),568,,"(34.0480177, -118.4433867)"
la salsa (la),22800 pch,malibu,310-456-6299,mexican,569,95437,"(39.4716107, -123.7990573)"
la serenata de garibaldi,1842 e. first,st. boyle hts.,213-265-2887,mexican/tex-mex,570,90033,"(34.0467488, -118.2184304)"
langer's,704 s. alvarado st.,la,213-483-8050,delis,571,90057,"(34.0561852, -118.2768039)"
local nochol,30869 thousand oaks blvd.,westlake village,818-706-7706,health food,572,91362,"(34.1564636, -118.7938164)"
main course  the,10509 w. pico blvd.,rancho park,310-475-7564,american,573,90064,"(34.0452069, -118.4194284)"
mani's bakery & espresso bar,519 s. fairfax ave.,la,213-938-8800,desserts,574,90036,"(34.066976, -118.3618162)"
martha's,22nd street grill 25 22nd,st. hermosa beach,310-376-7786,american,575,90254,"(33.86931130000001, -118.4039787)"
maxwell's cafe,13329 washington blvd.,marina del rey,310-306-7829,american,576,90066,"(33.9929249, -118.4432752)"
michael's (los angeles),1147 third st.,santa monica,310-451-0843,californian,577,90403,"(34.0190154, -118.4995044)"
mishima,8474 w. third st.,la,213-782-0181,noodle shops,578,90048,"(34.07291379999999, -118.3753034)"
mo better meatty meat,7261 melrose ave.,la,213-935-5280,hamburgers,579,90046,"(34.0837327, -118.347907)"
mulberry st.,17040 ventura blvd.,encino,818-906-8881,pizza,580,91316,"(34.1598497, -118.5047366)"
ocean park cafe,3117 ocean park blvd.,santa monica,310-452-5728,american,581,90405,"(34.0209986, -118.4525825)"
ocean star,145 n. atlantic blvd.,monterey park,818-308-2128,seafood,582,91754,"(34.0642548, -118.1344904)"
original pantry bakery,875 s. figueroa st. downtown,la,213-627-6879,diners,583,90017,"(34.0464457, -118.2628336)"
parkway grill,510 s. arroyo pkwy.,pasadena,818-795-1001,californian,584,91101,"(34.1370617, -118.1468991)"
pho hoa,642 broadway,chinatown,213-626-5530,vietnamese,585,90012,"(34.0597521, -118.2390712)"
pink's famous chili dogs,709 n. la brea ave.,la,213-931-4223,hot dogs,586,90038,"(34.0838768, -118.3442546)"
poquito mas,2635 w. olive ave.,burbank,818-563-2252,mexican,587,91505,"(34.1599416, -118.3311564)"
r-23,923 e. third st.,los angeles,213-687-7178,japanese,588,90012,"(34.0463078, -118.2341624)"
rae's,2901 pico blvd.,santa monica,310-828-7937,diners,589,90405,"(34.0250017, -118.4595928)"
rubin's red hots,15322 ventura blvd.,encino,818-905-6515,hot dogs,590,91403,"(34.1536839, -118.4669615)"
ruby's (la),45 s. fair oaks ave.,pasadena,818-796-7829,diners,591,91105,"(34.1449715, -118.1506038)"
russell's burgers,1198 pch,seal beach,310-596-9556,hamburgers,592,90740,"(33.7429979, -118.1006089)"
ruth's chris steak house (los angeles),224 s. beverly dr.,beverly hills,310-859-8744,steakhouses,593,90212,"(34.0640246, -118.3987689)"
shiro,1505 mission st. s.,pasadena,818-799-4774,pacific new wave,594,91030,"(34.1156149, -118.151411)"
sushi nozawa,11288 ventura blvd.,studio city,818-508-7017,japanese,595,91604,"(34.1402679, -118.375577)"
sweet lady jane,8360 melrose ave.,la,213-653-7145,desserts,596,90069,"(34.0834054, -118.3725144)"
taiko,11677 san vicente blvd.,brentwood,310-207-7782,noodle shops,597,90049,"(34.0542471, -118.4651397)"
tommy's,2575 beverly blvd.,la,213-389-9060,hamburgers,598,90057,"(34.0694981, -118.2762101)"
uncle bill's pancake house,1305 highland ave.,manhattan beach,310-545-5177,diners,599,90266,"(33.8864152, -118.4106207)"
water grill,544 s. grand ave.,los angeles,213-891-0900,seafood,600,90071,"(34.0490403, -118.2547066)"
zankou chicken,1415 e. colorado st.,glendale,818-244-1937,middle eastern,601,91205,"(34.1432176, -118.2333374)"
afghan kebab house,764 ninth ave.,new york city,212-307-1612,afghan,602,10019,"(40.7641852, -73.9881293)"
arcadia,21 e. 62nd st.,new york city,212-223-2900,american (new),603,10065,"(40.7657854, -73.9703126)"
benny's burritos,93 ave. a,new york city,212-254-2054,mexican,604,10009,"(40.7254331, -73.9842426)"
cafe con leche,424 amsterdam ave.,new york city,212-595-7000,cuban,605,10024,"(40.7841454, -73.9778061)"
corner bistro,331 w. fourth st.,new york city,212-242-9502,hamburgers,606,10014,"(40.73799229999999, -74.0037457)"
cucina della fontana,368 bleecker st.,new york city,212-242-0636,italian,607,10014,"(40.73472470000001, -74.00497109999999)"
cucina di pesce,87 e. fourth st.,new york city,212-260-6800,seafood,608,10003,"(40.72651, -73.9897689)"
darbar,44 w. 56th st.,new york city,212-432-7227,indian,609,10019,"(40.763028, -73.97666699999999)"
ej's luncheonette,432 sixth ave.,new york city,212-473-5555,diners,610,10011,"(40.7343992, -73.99858979999999)"
edison cafe,228 w. 47th st.,new york city,212-840-5000,diners,611,10036,"(40.7597355, -73.9861511)"
elias corner,24-02 31st st.,queens,718-932-1510,greek,612,11102,"(40.7723252, -73.91575139999999)"
good enough to eat,483 amsterdam ave.,new york city,212-496-0163,american,613,10024,"(40.785767, -73.976047)"
gray's papaya,2090 broadway,new york city,212-799-0243,hot dogs,614,10023,"(40.77835779999999, -73.9815721)"
il mulino,86 w. third st.,new york city,212-673-3783,italian,615,10012,"(40.7297668, -73.9991407)"
jackson diner,37-03 74th st.,queens,718-672-1232,indian,616,11372,"(40.7487977, -73.8916373)"
joe's shanghai,9 pell st.,queens,718-539-3838,chinese,617,10013,"(40.7146266, -73.99776349999999)"
john's pizzeria,48 w. 65th st.,new york city,212-721-7001,pizza,618,10023,"(40.7723779, -73.9810844)"
kelley & ping,127 greene st.,new york city,212-228-1212,pan-asian,619,10012,"(40.72560379999999, -73.9991458)"
kiev,117 second ave.,new york city,212-674-4040,ukrainian,620,10003,"(40.7280243, -73.9884895)"
kuruma zushi,2nd fl.,new york city,212-317-2802,japanese,621,10021,"(40.7695487, -73.9544057)"
la caridad,2199 broadway,new york city,212-874-2780,cuban,622,10024,"(40.78317759999999, -73.98079919999999)"
la grenouille,3 e. 52nd st.,new york city,212-752-1495,french (classic),623,10022,"(40.7596796, -73.97557069999999)"
lemongrass grill,61a seventh ave.,brooklyn,718-399-7100,thai,624,11217,"(40.6754638, -73.9745614)"
lombardi's,32 spring st.,new york city,212-941-7994,pizza,625,10012,"(40.7216368, -73.99572049999999)"
